“sample”,”error_0","error_1_e_minus_5","error_1_e_minus_4","error_1_e_minus_3","error_1_e_minus_2","error_1_e_minus_1","error_2_e_minus_1","error_3_e_minus_1","error_4_e_minus_1","error_5_e_minus_1","error_6_e_minus_1","error_7_e_minus_1","error_8_e_minus_1"
"306",33,61,34,56,122,364,793,1191,1688,2524,3873,5618,9483
"307",33,56,48,53,165,384,779,1246,1820,2611,3667,5980,9600
"308",36,60,72,51,141,367,797,1184,1843,2445,3770,5826,9373
"309",40,74,64,57,99,444,769,1250,1813,2407,3573,5510,9469
"310",38,32,64,76,140,463,760,1213,1904,2863,3755,5644,10054
"311",39,36,75,64,115,469,800,1188,1699,2560,3776,5769,9192
"312",41,37,78,61,120,431,720,1202,1819,2662,3630,5422,9668
"313",40,39,52,77,115,479,812,1091,2020,2482,3500,5413,9660
"314",42,38,44,81,107,483,838,1169,1637,2607,3801,5518,9669
"315",40,55,58,83,104,400,684,1150,1746,2417,3897,5870,9245
"316",57,58,65,67,131,476,750,1184,1833,2533,3531,5439,9377
"317",30,56,70,66,120,357,714,1149,1939,2699,3757,5677,9700
"318",29,54,69,74,117,370,733,1182,1811,2705,3642,5512,9185
"319",30,59,58,67,121,441,855,1111,1607,2350,3688,5598,9185
"320",30,71,66,71,131,349,779,1194,1673,2563,3634,5666,9935
"321",27,33,77,70,122,412,763,1194,1900,2657,3535,5458,9079
"322",31,35,81,88,85,453,843,1214,1813,2505,3819,5714,10341
"323",32,38,44,83,116,421,824,1267,1809,2561,3520,5109,9392
"324",34,40,42,54,120,416,856,1295,1878,2617,3847,5595,9630
"325",29,40,46,54,136,435,791,1193,1808,2412,3777,5707,9811
"326",34,47,61,58,107,352,696,1170,1897,2614,3653,5606,10579
"327",32,60,58,61,143,424,751,1156,1694,2548,3746,5427,9505
"328",32,64,50,60,114,409,757,1147,1939,2585,3830,5299,8838
"329",31,61,65,58,125,386,789,1176,1834,2701,3608,5711,9065
"330",35,89,71,61,116,421,722,1142,1751,2369,3597,6147,9429
"331",35,44,75,61,143,358,754,1172,1737,2537,3918,5759,9085
"332",38,47,70,80,116,460,838,1215,1803,2334,3607,5234,9486
"333",39,50,45,67,118,472,795,1101,1786,2452,3812,5249,8988
"334",40,56,48,72,140,384,799,1177,1750,2660,3638,5118,8874
"335",41,47,60,62,128,438,827,1232,1857,2394,3704,5176,8709
"336",42,31,51,65,112,470,795,1155,1822,2546,3617,5484,9226
"337",41,40,63,63,133,336,732,1198,1933,2641,3588,5447,9855
"338",42,31,63,70,114,449,826,1161,1734,2394,3770,6295,8600
"339",36,39,75,69,119,391,791,1174,1716,2871,3721,5805,9074
"340",24,43,56,73,103,425,922,1173,1786,2421,3657,5383,8679
"341",28,50,66,101,115,453,773,1237,1689,2419,3767,5256,9136
"342",33,46,86,51,102,446,755,1141,1816,2557,3660,5566,9525
"343",33,55,44,61,127,373,788,1107,1744,2677,3697,5302,9841
"344",33,52,56,68,114,439,784,1189,1772,2593,3926,5543,10108
"345",37,51,55,60,114,343,734,1153,1780,2582,3880,5547,9242
"346",31,65,47,77,97,386,752,1399,1811,2721,3540,5868,9336
"347",36,77,65,55,98,395,847,1208,1778,2314,3780,5419,9175
"348",41,36,35,63,133,448,823,1263,1789,2572,3526,5387,8887
"349",58,55,32,67,106,447,782,1229,1842,2528,3857,5254,9242
"350",30,43,34,75,108,476,768,1138,1710,2452,3948,5997,9434
"351",25,38,36,61,126,431,771,1284,1687,2577,3674,5488,9101
"352",29,43,50,66,105,384,869,1172,1743,2664,3707,5659,8922
"353",27,40,66,81,100,407,760,1224,1740,2446,3573,5454,9113
"354",37,40,60,78,101,407,837,1080,1976,2495,3850,5517,9219
"355",35,39,54,84,99,411,745,1185,1909,2416,3577,6116,8993
"356",39,43,66,84,109,429,791,1161,1830,2503,3666,5599,9651
"357",36,55,65,85,126,439,800,1159,1689,2712,3838,5729,9907
"358",35,71,77,75,97,447,742,1121,1846,2491,3759,5791,9223
